"AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"EMAIL";"EMAIL2";"TITULARIDAD";"URL";"E-MAIL";"TITULAR";"SEGREGADA";"EDUC. DIFERENCIADA";"Total 2017-2018";"Total 2018-2019";"Total 2019-2020";"Total 2020-2021";"Total 2021-2022";"Educación Infantil Especial 2017-2018";"Educación Infantil Especial 2018-2019";"Educación Infantil Especial 2019-2020";"Educación Infantil Especial 2020-2021";"Educación Infantil Especial 2021-2022";"Infantil I Ciclo 2017-2018";"Infantil I Ciclo 2018-2019";"Infantil I Ciclo 2019-2020";"Infantil I Ciclo 2020-2021";"Infantil I Ciclo 2021-2022";"Infantil II Ciclo 2017-2018";"Infantil II Ciclo 2018-2019";"Infantil II Ciclo 2019-2020";"Infantil II Ciclo 2020-2021";"Infantil II Ciclo 2021-2022";"Educación Básica Obligatoria 2017-2018";"Educación Básica Obligatoria 2018-2019";"Educación Básica Obligatoria 2019-2020";"Educación Básica Obligatoria 2020-2021";"Educación Básica Obligatoria 2021-2022";"Primaria 2017-2018";"Primaria 2018-2019";"Primaria 2019-2020";"Primaria 2020-2021";"Primaria 2021-2022";"ESO 2017-2018";"ESO 2018-2019";"ESO 2019-2020";"ESO 2020-2021";"ESO 2021-2022";"Bachillerato 2017-2018";"Bachillerato 2018-2019";"Bachillerato 2019-2020";"Bachillerato 2020-2021";"Bachillerato 2021-2022";"FP GM 2017-2018";"FP GM 2018-2019";"FP GM 2019-2020";"FP GM 2020-2021";"FP GM 2021-2022";"FP GS 2017-2018";"FP GS 2018-2019";"FP GS 2019-2020";"FP GS 2020-2021";"FP GS 2021-2022";"FPB 2017-2018";"FPB 2018-2019";"FPB 2019-2020";"FPB 2020-2021";"FPB 2021-2022";"PCPI: Módulos Voluntarios 2017-2018";"PCPI: Módulos Voluntarios 2018-2019";"PCPI: Módulos Voluntarios 2019-2020";"PCPI: Módulos Voluntarios 2020-2021";"PCPI: Módulos Voluntarios 2021-2022";"PCPI: Especial 2017-2018";"PCPI: Especial 2018-2019";"PCPI: Especial 2019-2020";"PCPI: Especial 2020-2021";"PCPI: Especial 2021-2022";"Programa Formación Transición Vida Adulta 2017-2018";"Programa Formación Transición Vida Adulta 2018-2019";"Programa Formación Transición Vida Adulta 2019-2020";"Programa Formación Transición Vida Adulta 2020-2021";"Programa Formación Transición Vida Adulta 2021-2022";"Programas Profesionales Modalidad Especial 2017-2018";"Programas Profesionales Modalidad Especial 2018-2019";"Programas Profesionales Modalidad Especial 2019-2020";"Programas Profesionales Modalidad Especial 2020-2021";"Programas Profesionales Modalidad Especial 2021-2022";"lat";"lng";"Programas Profesionales Modalidad General 2019-2020";"Programas Profesionales Modalidad General 2020-2021";"Programas Profesionales Modalidad General 2021-2022"
"Madrid-Capital";"28072004";"EEI";"ANA DE AUSTRIA";"Calle De Ana De Austria, 32 ";"Madrid";"Hortaleza";"28050";"917500832";"-";"eei.anadeaustria.madrid@educa.madrid.org";"eei.anadeaustria@gmail.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072004";"eei.anadeaustria.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4953279";"-3.655404";"";"";""
"Madrid-Sur";"28044161";"EEI";"ANDERSEN";"Avenida De Viña Grande, 2 ";"Alcorcón";"-";"28925";"914880205";"-";"eei.andersen.alcorcon@educa.madrid.org";"andersen.alcorcon@hotmail.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044161";"eei.andersen.alcorcon@educa.madrid.org";"";"NO";"";"118";"122";"121";"122";"121";"";"";"";"";"";"118";"122";"121";"122";"121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.349476";"-3.8067598";"";"";""
"Madrid-Este";"28068098";"EEI";"ANTON PIRULERO";"Calle Puerto De Bilbao, S/n ";"Coslada";"-";"28821";"914939280";"912973728";"eei.antonpirulero.coslada@educa.madrid.org";"antonpirulero@chiquitin.es";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068098";"eei.antonpirulero.coslada@educa.madrid.org";"";"NO";"";"157";"172";"171";"170";"164";"";"";"";"";"";"157";"172";"171";"170";"164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.416533";"-3.5756272";"";"";""
"Madrid-Capital";"28079621";"EEI";"ANTONIO MERCERO";"Avenida De Valladolid, 49b ";"Madrid";"Moncloa-Aravaca";"28008";"-";"-";"-";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28079621";"eei.antoniomercero.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.429537";"-3.731616799999999";"";"";""
"Madrid-Capital";"28062643";"EEI";"ARCE";"Calle Del Alcalde Garrido Juaristi, 6 ";"Madrid";"Moratalaz";"28030";"913285820";"913285820";"eei.arce.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28062643";"eei.arce.madrid@educa.madrid.org";"";"NO";"";"118";"117";"114";"115";"115";"";"";"";"";"";"118";"117";"114";"115";"115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4140819";"-3.6564997";"";"";""
"Madrid-Capital";"28043454";"EEI";"ARCO IRIS";"Calle De Diego Olivera Victorio, 10 ";"Madrid";"Villa de Vallecas";"28031";"913311422";"913311422";"eei.arcoiris.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043454";"eei.arcoiris.madrid@educa.madrid.org";"";"NO";"";"75";"74";"74";"74";"76";"";"";"";"";"";"75";"74";"74";"74";"76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.384164";"-3.6142364";"";"";""
"Madrid-Este";"28049055";"EEI";"ARCO IRIS";"Calle Valverde De Alcala, 1 ";"Alcalá de Henares";"-";"28806";"918811481";"918811481";"eei.arcoiris.alcala@educa.madrid.org";"directora@escuelaarcoiris.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049055";"eei.arcoiris.alcala@educa.madrid.org";"";"NO";"";"107";"123";"126";"120";"128";"";"";"";"";"";"107";"123";"126";"120";"128";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4911407";"-3.3670962";"";"";""
"Madrid-Sur";"28080499";"EEI";"ARCOIRIS";"Avenida Niceto Alcalá Zamora, S/n ";"Getafe";"-";"28904";"916834716";"-";"eei.arcoiris.getafe@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080499";"eei.arcoiris.getafe@educa.madrid.org";"";"NO";"";"";"";"";"";"113";"";"";"";"";"";"";"";"";"";"113";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2974652";"-3.7554359";"";"";""
"Madrid-Sur";"28065292";"EEI";"ARTE";"Calle Mezquita, 36 ";"Getafe";"-";"28903";"916843528";"-";"eei.arte.getafe@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28065292";"eei.arte.getafe@educa.madrid.org";"";"NO";"";"117";"118";"113";"111";"109";"";"";"";"";"";"117";"118";"113";"111";"109";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3175104";"-3.7126925";"";"";""
"Madrid-Oeste";"28068037";"EEI";"ASERRIN ASERRAN";"Calle Castillo De Atienza, 4 ";"Rozas de Madrid, Las";"-";"28232";"916365929";"916365929";"eei.aserrinaserran.lasrozas@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068037";"eei.aserrinaserran.lasrozas@educa.madrid.org";"";"NO";"";"178";"181";"180";"176";"181";"";"";"";"";"";"178";"181";"180";"176";"181";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.508042";"-3.8930869";"";"";""
"Madrid-Capital";"28043740";"EEI";"BÄRBEL INHELDER";"Carretera De Colmenar, K15 ";"Madrid";"Fuencarral-El Pardo";"28049";"914972303";"914972301";"eei.barbelinhelder.madrid@educa.madrid.org";"escuela.infantil@uam.es";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043740";"eei.barbelinhelder.madrid@educa.madrid.org";"";"NO";"";"99";"104";"98";"83";"86";"";"";"";"";"";"99";"104";"98";"83";"86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5285347";"-3.6913636";"";"";""
"Madrid-Sur";"28049067";"EEI";"BARCO DE PAPEL";"Avenida De Los Cinco Siglos, 1 ";"Navalcarnero";"-";"28600";"918113003";"918113657";"eei.barcodepapel.navalcarnero@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049067";"eei.barcodepapel.navalcarnero@educa.madrid.org";"";"NO";"";"112";"118";"113";"109";"116";"";"";"";"";"";"112";"118";"113";"109";"116";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2812254";"-4.0148267";"";"";""
"Madrid-Capital";"28080116";"EEI";"BERNARDO DE GALVEZ";"Carretera M-607 Colmenar Viejo, K17,5 ";"Madrid";"Fuencarral-El Pardo";"28790";"-";"-";"-";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080116";"null";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6692307";"-3.7564213";"";"";""
"Madrid-Sur";"28043922";"EEI";"CALEIDOSCOPIO";"Avenida De Carlos V, 3 ";"Móstoles";"-";"28936";"916454995";"916454995";"eei.caleidoscopio.mostoles@educa.madrid.org";"caleidoscopio@educainfantilmostoles.org";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043922";"eei.caleidoscopio.mostoles@educa.madrid.org";"";"NO";"";"116";"117";"113";"109";"115";"";"";"";"";"";"116";"117";"113";"109";"115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3139455";"-3.8477173";"";"";""
"Madrid-Oeste";"28072429";"EEI";"CALIMERO";"Calle Amapolas, S/n ";"Collado Villalba";"-";"28400";"674334740";"-";"eei.calimero.colladovillalba@educa.madrid.org";"calimero@kidsco.es";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072429";"eei.calimero.colladovillalba@educa.madrid.org";"";"NO";"";"139";"168";"149";"131";"138";"";"";"";"";"";"139";"168";"149";"131";"138";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6391345";"-4.0092542";"";"";""
"Madrid-Sur";"28068219";"EEI";"CAMPANILLA";"Calle Miguel De Cervantes, 106 ";"Arroyomolinos";"-";"28939";"918982621";"916119054";"eei.campanilla.arroyomolinos@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068219";"eei.campanilla.arroyomolinos@educa.madrid.org";"";"NO";"";"207";"212";"204";"210";"204";"";"";"";"";"";"207";"212";"204";"210";"204";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2641563";"-3.9170755";"";"";""
"Madrid-Capital";"28068301";"EEI";"CAMPANILLA";"Calle De Ávila, 4 ";"Madrid";"Tetuán";"28020";"915707576";"915707576";"eei.campanilla.madrid@educa.madrid.org";"lunas.7@hotmaiil.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068301";"eei.campanilla.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4526401";"-3.701845399999999";"";"";""
"Madrid-Sur";"28070202";"EEI";"CAMPANILLA";"Calle De Copenhague, 55 ";"Alcorcón";"-";"28922";"605865768";"-";"eei.campanilla.alcorcon@educa.madrid.org";"campanilla.alcorcon@gmail.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070202";"eei.campanilla.alcorcon@educa.madrid.org";"";"NO";"";"110";"95";"98";"89";"95";"";"";"";"";"";"110";"95";"98";"89";"95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3570031";"-3.8553507";"";"";""
"Madrid-Sur";"28049195";"EEI";"CANCIONERO";"Calle Emilia Pardo Bazán, S/n ";"Getafe";"-";"28903";"916969593";"-";"eei.cancionero.getafe@educa.madrid.org";"raquel.victorio@madrid.org";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049195";"eei.cancionero.getafe@educa.madrid.org";"";"NO";"";"117";"119";"114";"112";"113";"";"";"";"";"";"117";"119";"114";"112";"113";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3248777";"-3.7230313";"";"";""
